City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Lerwick,GB,60.1545,-1.1494,48.2,73,37,18.72,scattered clouds
257,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,80.87,47,91,4.88,overcast clouds
258,Hella,NO,67.2,14.4333,46.76,90,75,10.36,broken clouds
259,Huicungo,PE,-7.2833,-76.8,72.37,88,32,1.66,scattered clouds
260,Aitape,PG,-3.1374,142.3475,84.25,69,92,0.47,overcast clouds
261,Mehamn,NO,71.0357,27.8492,39.11,96,100,23.24,overcast clouds
262,Guerrero Negro,MX,27.9769,-114.0611,66.38,66,0,20.42,clear sky
263,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,14.97,scattered clouds
264,Srednekolymsk,RU,67.45,153.6833,44.65,39,17,4.34,few clouds
265,Punganuru,IN,13.3667,78.5833,75.34,70,16,8.34,few clouds
266,Kailua,US,21.4022,-157.7394,81.48,61,50,5.01,scattered clouds
267,Bambari,CF,5.768,20.6757,72.61,87,92,2.51,overcast clouds
268,Arman,RU,59.7,150.1667,50.02,79,86,5.3,overcast clouds
269,Liepaja,LV,56.5419,21.0367,49.98,81,0,13.8,clear sky
270,Kloulklubed,PW,7.0419,134.2556,81.1,75,100,9.42,light rain
271,Araouane,ML,18.9048,-3.5265,93.96,19,78,10.27,broken clouds
272,Portland,US,45.5234,-122.6762,63.23,71,100,3.0,overcast clouds
273,Caravelas,BR,-17.7125,-39.2481,71.26,88,98,5.99,overcast clouds
274,Bollnas,SE,61.3482,16.3946,46.6,91,100,8.32,overcast clouds
275,Santa Rosalia,MX,27.3167,-112.2833,90.54,19,0,10.45,clear sky
276,Dingle,PH,10.9995,122.6711,80.74,81,97,7.23,overcast clouds
277,Takoradi,GH,4.8845,-1.7554,79.29,83,95,5.17,overcast clouds
278,Carauari,BR,-4.8828,-66.8958,78.04,74,87,0.83,overcast clouds
279,Kochi,IN,9.9399,76.2602,75.18,89,66,4.38,broken clouds
280,Isiro,CD,2.7739,27.616,66.27,100,100,3.71,moderate rain
281,Ratanpur,IN,22.3,82.1667,84.69,33,52,1.97,broken clouds
282,Villazon,BO,-22.0866,-65.5942,44.73,13,11,1.48,few clouds
283,Kaset Sombun,TH,16.2805,101.9542,77.65,78,100,4.94,overcast clouds
284,Grindavik,IS,63.8424,-22.4338,49.95,81,40,9.22,scattered clouds
285,Najran,SA,17.4924,44.1277,77.65,18,1,2.3,clear sky
286,Imeni Poliny Osipenko,RU,52.4201,136.4853,44.51,89,100,14.79,light rain
287,Leh,IN,34.1667,77.5833,48.58,51,73,4.03,broken clouds
288,Khipro,PK,25.8285,69.3772,82.0,75,13,24.07,few clouds
