City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
171,Hami,CN,88.45,clear sky,42.8,93.45,Laoyutang Resort
172,Cozumel,MX,75.94,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
177,Barinitas,VE,76.48,broken clouds,8.7622,-70.4111,Rapsodia EcoTours
180,Monrovia,LR,77.88,overcast clouds,6.3005,-10.7969,Sunset Inn
181,Barmer,IN,78.66,clear sky,25.75,71.3833,Jain Dharamshala
182,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
187,Yanam,IN,86.95,overcast clouds,16.7333,82.2167,The Regency Hotel
192,Luna,PH,83.03,overcast clouds,10.9667,123.2333,Rosita Beach
193,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
194,Tautira,PF,79.63,clear sky,-17.7333,-149.15,Pension Oaoa
196,Fairbanks,US,75.02,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
198,Biak,ID,80.38,overcast clouds,-0.9131,122.8766,Penginapan Kim
199,Hilo,US,88.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
200,Shimoda,JP,77.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
202,Lingao,CN,85.78,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
212,Itupiranga,BR,77.76,overcast clouds,-5.1347,-49.3267,Hotel Panorama
221,Chipurupalle,IN,88.41,overcast clouds,18.3,83.5667,Sai Towers
223,Bengkulu,ID,79.84,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
227,Faanui,PF,80.49,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Navrongo,GH,81.7,overcast clouds,10.8956,-1.0921,Azakka Hotel
233,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
234,Mount Pleasant,US,79.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
235,Machiques,VE,77.2,clear sky,10.0644,-72.545,hotel el markes
236,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
238,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
251,Zhangye,CN,75.58,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
252,Wilmington,US,76.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
253,Vanimo,PG,83.52,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
256,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
259,Pontianak,ID,85.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
264,Wajima,JP,84.88,clear sky,37.4,136.9,Wajiima Onsen Yashio
265,Mount Isa,AU,85.77,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
269,Luganville,VU,84.4,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
270,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
271,Laguna,US,80.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
284,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
288,Buala,SB,85.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
295,Kousseri,CM,82.36,clear sky,12.0769,15.0306,Le Pilotis
296,Brokopondo,SR,77.09,overcast clouds,4.75,-55.1667,Matu Island
299,Kavieng,PG,82.87,light rain,-2.5744,150.7967,Nusa Island Retreat
302,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
303,Lamin,GM,75.31,overcast clouds,13.3522,-16.4339,Jerreh Camp Lodge
304,Kodinar,IN,82.94,overcast clouds,20.7903,70.7031,residency of N.B vadhel
307,Makakilo City,US,78.69,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
308,Sijunjung,ID,80.87,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
309,Touros,BR,75.72,few clouds,-5.1989,-35.4608,INN NEW HORIZON
320,Cockburn Town,TC,79.68,few clouds,21.4612,-71.1419,Osprey Beach Hotel
321,Takoradi,GH,78.51,overcast clouds,4.8845,-1.7554,Raybow International Hotel
322,Petatlan,MX,82.2,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
325,Acajutla,SV,80.22,broken clouds,13.5928,-89.8275,Laureles
331,Tezu,IN,85.14,clear sky,27.9167,96.1667,Circuit House
333,College,US,75.0,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
334,Sahuaripa,MX,84.16,clear sky,29.05,-109.2333,Estatua de Sahuaripa
343,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
344,Ixtacomitan,MX,77.13,overcast clouds,17.4167,-93.1,Las Cumbres
345,Callaway,US,78.01,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
356,Phibun Mangsahan,TH,89.11,few clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
357,Anloga,GH,80.76,overcast clouds,5.7947,0.8973,Pin Drop Hotel
363,Majene,ID,81.99,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
365,Anlu,CN,85.6,scattered clouds,31.1661,112.5831,Thank Inn Plus Hotel Hubei Jingmen Zhongxiang Wenfeng Road
369,Mareeba,AU,82.67,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
372,Mahina,PF,82.17,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
373,Male,MV,81.28,broken clouds,4.1748,73.5089,Hotel Octave Maldives
377,Kampli,IN,79.61,few clouds,15.4,76.6167,Government Hostel Kampli
390,Qui Nhon,VN,87.69,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
394,Sinnamary,GF,77.38,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
396,Acarau,BR,75.88,few clouds,-2.8856,-40.12,castelo pizzaria
398,Taitung,TW,89.87,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
405,Trinidad,BO,75.81,clear sky,-14.8333,-64.9,Hotel Piesta
406,Samarai,PG,81.3,scattered clouds,-10.6167,150.6667,Nuli Sapi
409,Kaduqli,SD,82.69,overcast clouds,11.0167,29.7167,Nussyba
411,Nalhati,IN,89.19,scattered clouds,24.3,87.8167,GAMING EVO
413,Kharan,PK,77.18,clear sky,28.5833,65.4167,Dil Aram Bangla
418,Dicabisagan,PH,88.32,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
